Razão Social,Fundo,Segmento,Código,Concat,,Ontem,Volume Atual,Variação Desde Ontem,Tendências
ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB,FII ALIANZA,,ALZR,ALZR11,"R$ 119,39",#N/A,12132,#N/A,
AQ3 RENDA FDO INV IMOB - FII,FII AQUIL RD,MB,ARFI,ARFI11,#N/A,#N/A,#N/A,#N/A,#N/A
ÁQUILLA FDO INV IMOB - FII,FII AQUILLA,,AQLL,AQLL11,"R$ 360,00",#N/A,0,#N/A,
BANESTES RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB FII,FII BEES CRI,,BCRI,BCRI11,"R$ 123,00",#N/A,4842,#N/A,
BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII,FII BANRISUL,,BNFS,BNFS11,"R$ 128,10",#N/A,634,#N/A,
BB FDO INV IMOB PROGRESSIVO,FII BB PROGR,MB,BBFI,BBFI11,#N/A,#N/A,#N/A,#N/A,#N/A
BB PROGRESSIVO II FDO INV IMOB - FII,FII BB PRGII,,BBPO,BBPO11,"R$ 159,89",#N/A,23863,#N/A,
BB RECEBIVEIS IMOBILIARIOS FDO INV IMOB - FII,FII BB RECIM,,BBIM,BBIM11,"R$ 0,00",#N/A,0,#N/A,#N/A
BB RENDA CORPORATIVA FDO INV IMOB - FII,FII BB CORP,,BBRC,BBRC11,"R$ 136,80",#N/A,2799,#N/A,
BB RENDA DE PAPEIS IMOB II FDO INV IMOB - FII,FII BB PAPII,,RDPD,RDPD11,"R$ 85,90",#N/A,1210,#N/A,
BB RENDA DE PAPÉIS IMOBILIÁRIOS FDO INV IMOB - FII,FII BB R PAP,,RNDP,RNDP11,"R$ 976,00",#N/A,14,#N/A,
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FII,FII BCIA,,BCIA,BCIA11,"R$ 165,00",#N/A,1311,#N/A,
BRAZIL REALTY FDO INV IMOB,FII BRREALTY,,BZLI,BZLI11,"R$ 15,80",#N/A,1200017,#N/A,
BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII,FII DEA CARE,,CARE,CARE11,"R$ 1,05","21,17",512353,#N/A,
BRESCO - FDO INV IMOB,FII BRESCO,,BRCO,BRCO11,#N/A,#N/A,#N/A,#N/A,#N/A
BRIO REAL ESTATE II - FDO INV IMOB,FII BRIO II,MB,BRIM,BRIM11,#N/A,"38,5",#N/A,#N/A,#N/A
BTG PACTUAL LOGISTICA FDO INV IMOB - FII,FII TRX LOG,,TRXL,TRXL11,"R$ 103,38",#N/A,9524,#N/A,
CAIXA RIO BRAVO FDO DE FDOS INV IMOB II,FII CX RBRA2,,CRFF,CRFF11,"R$ 96,00",#N/A,575,#N/A,
CAIXA RIO BRAVO FUNDO DE FDO INV IMOB - FII,FII CX RBRAV,,CXRI,CXRI11,"R$ 1.355,00",#N/A,12,#N/A,
CAPITANIA SECURITIES II FDO INV IMOB - FII,FII CAPI SEC,MB,CPTS,CPTS11,#N/A,#N/A,#N/A,#N/A,#N/A
CASTELLO BRANCO OFFICE PARK FDO INV IMOB - FII,FII C BRANCO,,CBOP,CBOP11,"R$ 89,80",#N/A,2619,#N/A,
CSHG GR LOUVEIRA FDO DE INV IMOB - FII,FII LOUVEIRA,,GRLV,GRLV11,"R$ 117,50",#N/A,1253,#N/A,
CSHG IMOB. FOF - FDO INV. IMOB. - FII,FII CSHG FOF,,HGFF,HGFF11,"R$ 102,95",#N/A,7290,#N/A,
CSHG LOGÍSTICA FDO INV IMOB - FII,FII CSHG LOG,,HGLG,HGLG11,"R$ 181,55",#N/A,28273,#N/A,
CSHG PRIME OFFICES FDO INV IMOB - FII,FII CSHGPRIM,,HGPO,HGPO11,"R$ 199,00",#N/A,2924,#N/A,
CSHG REAL ESTATE FDO INV IMOB - FII,FII HG REAL,,HGRE,HGRE11,"R$ 168,00",#N/A,38110,#N/A,
CSHG RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB - FII,FII CSHG CRI,,HGCR,HGCR11,"R$ 122,90",#N/A,48144,#N/A,
CSHG RENDA URBANA - FDO INV IMOB - FII,FII CSHG URB,,HGRU,HGRU11,"R$ 132,00",#N/A,22307,#N/A,
DEL MONTE AJAX FDO INV IMOB - FII,FII DEL MONT,,DLMT,DLMT11,#N/A,"45,2",#N/A,#N/A,#N/A
DIAMANTE FDO INV IMOB,FII DIAMANTE,MB,DAMT,DAMT11,#N/A,#N/A,#N/A,#N/A,#N/A
DOVEL FDO INV IMOB,FII DOVEL,MB,DOVL,DOVL11,#N/A,#N/A,#N/A,#N/A,#N/A
EUROPA 105 - FDO INV IMOB,FII EUROPA,,ERPA,ERPA11,"R$ 0,00",#N/A,0,#N/A,#N/A
EVEN PERMUTA KINEA FII - FDO INV IMOB,FII EV KINEA,,KINP,KINP11,"R$ 14,39",#N/A,29,#N/A,
FARIA LIMA CAPITAL RECEB. IMOB. I - FDO INV. IMOB.,FII FL RECEB,,FLCR,FLCR11,#N/A,#N/A,#N/A,#N/A,#N/A
FATOR VERITA FDO INV IMOB - FII,FII FATOR VE,,VRTA,VRTA11,"R$ 129,40","1,11",18793,#N/A,
FDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,FII BRASILIO,,BMII,BMII11,"R$ 0,00",#N/A,0,#N/A,#N/A
FDO INV IMOB - BTG PACTUAL CREDITO IMOBILIARIO,FII BTG CRI,,BTCR,BTCR11,"R$ 100,90",#N/A,6128,#N/A,
FDO INV IMOB - BTG PACTUAL METROPOLIS,FII MTRS,,MTRS,MTRS11,#N/A,"47,18",#N/A,#N/A,#N/A
FDO INV IMOB - FII ANCAR IC,FII ANCAR IC,MB,ANCR,ANCR11,#N/A,170,#N/A,#N/A,#N/A
FDO INV IMOB - FII ANHANGUERA EDUCACIONAL,FII ANH EDUC,,FAED,FAED11,"R$ 267,99",#N/A,1148,#N/A,
FDO INV IMOB - FII BM BRASCAN LAJES CORPORATIVAS,FII BMBRC LC,MB,BMLC,BMLC11,#N/A,#N/A,#N/A,#N/A,#N/A
FDO INV IMOB - FII BRLPROP,FII BRLPROP,,BPRP,BPRP11,"R$ 100,00",#N/A,0,#N/A,
FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND,FII BC FUND,,BRCR,BRCR11,"R$ 99,49",#N/A,119544,#N/A,
FDO INV IMOB - FII BTG PACTUAL FUNDO DE CRI,FII EXCELLEN,,FEXC,FEXC11,"R$ 115,50",#N/A,1559,#N/A,
FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS,FII BC FFII,,BCFF,BCFF11,"R$ 105,77",#N/A,32057,#N/A,
FDO INV IMOB - FII CAMPUS FARIA LIMA,FII CAMPUSFL,,FCFL,FCFL11,"R$ 125,23",#N/A,434,#N/A,
FDO INV IMOB - FII CENESP,FII CENESP,,CNES,CNES11,"R$ 83,34",#N/A,1125,#N/A,
